timestamp,frobenius_norm
432.481256,0.020175
432.541256,0.020299
432.541256,0.020235
432.581261,0.020266
432.581261,0.020192
432.641257,0.020221
432.641257,0.020095
432.681257,0.020063
432.681257,0.019946
432.741256,0.020111
432.741256,0.020081
432.781257,0.020137
432.781257,0.020083
432.841257,0.020134
432.841257,0.020025
432.881257,0.020008
432.881257,0.019903
432.941256,0.020035
432.941256,0.019984
432.981257,0.020023
432.981257,0.019958
433.041257,0.019997
433.041257,0.019881
433.101257,0.019876
433.101257,0.019730
433.141256,0.019915
433.141256,0.019957
433.201257,0.020111
433.201257,0.020075
433.241257,0.020128
433.241257,0.020076
433.301256,0.020130
433.301256,0.020029
433.341257,0.020211
433.341257,0.020251
433.401257,0.020407
433.401257,0.020373
433.441257,0.020431
433.441257,0.020382
433.501256,0.020442
433.501256,0.020342
433.541257,0.020525
433.541257,0.020565
433.601257,0.020722
433.601257,0.020688
433.661257,0.020776
433.661257,0.020692
433.701257,0.020707
433.701257,0.020626
433.761257,0.020862
433.761257,0.020882
433.801256,0.020991
433.801256,0.020975
433.861257,0.021074
433.861257,0.020997
433.901257,0.021014
433.901257,0.020933
433.961257,0.021093
433.961257,0.021059
434.001257,0.021116
434.001257,0.021065
434.061257,0.021124
434.061257,0.021021
434.101257,0.021011
434.101257,0.020913
434.161257,0.021061
434.161257,0.021020
434.201257,0.021071
434.201257,0.021015
434.261257,0.021069
434.261257,0.020963
434.321258,0.020975
434.321258,0.020839
434.361257,0.020931
434.361257,0.020906
434.421257,0.020990
434.421257,0.020906
434.461257,0.020914
434.461257,0.020831
434.521257,0.020850
434.521257,0.020724
434.561257,0.020763
434.561257,0.020702
434.621257,0.020744
434.621257,0.020635
434.661257,0.020618
434.661257,0.020516
434.721257,0.020515
434.721257,0.020377
434.761257,0.020456
434.761257,0.020425
434.821257,0.020498
434.821257,0.020412
434.881257,0.020435
434.881257,0.020314
434.921257,0.020287
434.921257,0.020181
434.981257,0.020380
434.981257,0.020383
435.021257,0.020467
435.021257,0.020439
435.081257,0.020513
435.081257,0.020428
435.121256,0.020431
435.121256,0.020347
435.181257,0.020415
435.181257,0.020327
435.221257,0.020324
435.221257,0.020237
435.281257,0.020245
435.281257,0.020118
435.321257,0.020078
435.321257,0.019965
435.381257,0.020085
435.381257,0.020039
435.441257,0.020100
435.441257,0.020010
435.481257,0.020008
435.481257,0.019924
435.541256,0.020081
435.541256,0.020061
435.581257,0.020124
435.581257,0.020085
435.641257,0.020145
435.641257,0.020057
435.681257,0.020057
435.681257,0.019974
435.741256,0.020122
435.741256,0.020094
435.781256,0.020147
435.781256,0.020102
435.841259,0.020156
435.841259,0.020062
435.881257,0.020054
435.881257,0.019964
435.941256,0.020029
435.941256,0.019942
436.001258,0.019962
436.001258,0.019844
436.041257,0.019815
436.041257,0.019712
436.101257,0.019697
436.101257,0.019561
436.141257,0.019460
436.141257,0.019310
436.201257,0.019245
436.201257,0.019077
436.241257,0.018996
436.241257,0.018860
436.301257,0.018809
436.301257,0.018656
436.341256,0.018651
436.341256,0.018572
436.401257,0.018580
436.401257,0.018470
436.441257,0.018439
436.441257,0.018345
436.501257,0.018334
436.501257,0.018214
436.561257,0.018108
436.561257,0.017924
436.601257,0.017826
436.601257,0.017688
436.661256,0.017629
436.661256,0.017484
436.701257,0.017418
436.701257,0.017306
436.761257,0.017283
436.761257,0.017166
436.801257,0.017123
436.801257,0.017029
436.861257,0.017013
436.861257,0.016903
436.901257,0.016865
436.901257,0.016778
436.961257,0.016845
436.961257,0.016795
437.001257,0.016814
437.001257,0.016766
437.061257,0.016797
437.061257,0.016722
437.101259,0.016718
437.101259,0.016655
437.161257,0.016671
437.161257,0.016586
437.221257,0.016590
437.221257,0.016496
437.261257,0.016474
437.261257,0.016399
437.321258,0.016401
437.321258,0.016308
437.361257,0.016287
437.361257,0.016214
437.421257,0.016212
437.421257,0.016120
437.461257,0.016095
437.461257,0.016020
437.521257,0.016017
437.521257,0.015925
437.561257,0.015971
437.561257,0.015948
437.621257,0.016001
437.621257,0.015947
437.661257,0.015959
437.661257,0.015910
437.721257,0.015935
437.721257,0.015863
437.781257,0.015817
437.781257,0.015695
437.821257,0.015641
437.821257,0.015548
437.881257,0.015525
437.881257,0.015420
437.921257,0.015381
437.921257,0.015298
437.981256,0.015427
437.981256,0.015430
438.021257,0.015497
438.021257,0.015487
438.081257,0.015553
438.081257,0.015507
438.121257,0.015525
438.121257,0.015480
438.181257,0.015541
438.181257,0.015488
438.221257,0.015498
438.221257,0.015444
438.281257,0.015455
438.281257,0.015370
438.341257,0.015537
438.341257,0.015558
438.381257,0.015637
438.381257,0.015633
