timestamp,frobenius_norm
750.361257,0.004705
750.401257,0.004728
750.401257,0.004568
750.461256,0.004782
750.461256,0.004757
750.501257,0.004989
750.501257,0.004957
750.561257,0.005321
750.561257,0.005235
750.601257,0.005428
750.601257,0.005317
750.661256,0.005820
750.661256,0.005768
750.701257,0.006030
750.701257,0.005905
750.761257,0.006283
750.761257,0.006088
750.801257,0.006242
750.801257,0.006039
750.861256,0.006010
750.861256,0.005542
750.901257,0.005396
750.901257,0.005045
750.961257,0.005039
750.961257,0.004746
751.021257,0.004769
751.021257,0.004546
751.061257,0.004796
751.061257,0.004897
751.121257,0.005367
751.121257,0.005409
751.161256,0.005729
751.161256,0.005695
751.221257,0.006150
751.221257,0.006028
751.261256,0.005625
751.261256,0.005060
751.321257,0.005050
751.321257,0.004710
751.361257,0.004758
751.361257,0.004607
751.421257,0.004906
751.421257,0.004808
751.461256,0.005200
751.461256,0.005309
751.521257,0.005960
751.521257,0.006011
751.581257,0.006621
751.581257,0.006548
751.621257,0.006870
751.621257,0.006729
751.681257,0.006847
751.681257,0.006358
751.721257,0.006291
751.721257,0.005894
751.781257,0.005989
751.781257,0.005600
751.821257,0.005563
751.821257,0.005252
751.881257,0.005534
751.881257,0.005447
751.921257,0.005656
751.921257,0.005582
751.981257,0.005894
751.981257,0.005757
752.021257,0.005921
752.021257,0.005791
752.081257,0.005610
752.081257,0.005141
752.141257,0.005158
752.141257,0.004861
752.181257,0.004919
752.181257,0.004748
752.241257,0.005037
752.241257,0.004896
752.281257,0.004876
752.281257,0.004635
752.341257,0.004826
752.341257,0.004629
752.381257,0.004703
752.381257,0.004542
752.441257,0.004725
752.441257,0.004550
752.481257,0.004642
752.481257,0.004543
752.541257,0.004829
752.541257,0.004734
752.581257,0.004903
752.581257,0.004801
752.641257,0.005095
752.641257,0.004962
752.701257,0.005426
752.701257,0.005422
752.741257,0.005715
752.741257,0.005624
752.801257,0.005949
752.801257,0.005753
752.841257,0.005819
752.841257,0.005596
752.901257,0.006413
752.901257,0.006535
752.941257,0.006957
752.941257,0.006808
753.001257,0.007219
753.001257,0.006898
753.041257,0.006966
753.041257,0.006649
753.101257,0.007558
753.101257,0.007572
753.141257,0.007901
753.141257,0.007711
753.201257,0.007973
753.201257,0.007629
753.241257,0.007584
753.241257,0.007238
753.301257,0.007469
753.301257,0.007228
753.361257,0.007546
753.361257,0.007431
753.401257,0.007873
753.401257,0.008114
753.461256,0.009369
753.461256,0.009967
753.501257,0.010557
753.501257,0.010687
753.561257,0.011183
753.561257,0.011059
753.601257,0.011286
753.601257,0.011123
753.661256,0.011246
753.661256,0.010827
753.701257,0.010718
753.701257,0.010304
753.761257,0.010222
753.761257,0.009708
753.801257,0.009485
753.801257,0.009025
753.861257,0.009074
753.861257,0.008701
753.921257,0.008656
753.921257,0.008243
753.961257,0.008252
753.961257,0.008049
754.021257,0.008299
754.021257,0.008152
754.061256,0.008693
754.061256,0.008823
754.121257,0.009261
754.121257,0.009164
754.161257,0.009287
754.161257,0.009193
754.221257,0.009355
754.221257,0.009218
754.261257,0.009831
754.261257,0.010041
754.321257,0.010722
754.321257,0.010763
754.361257,0.011391
754.361257,0.011545
754.421257,0.012514
754.421257,0.012588
754.481257,0.014251
754.481257,0.014504
754.521257,0.015654
754.521257,0.015663
754.581257,0.018152
754.581257,0.018378
754.621257,0.020325
754.621257,0.020326
754.681257,0.022956
754.681257,0.022550
754.721257,0.024161
754.721257,0.023837
754.781257,0.027916
754.781257,0.028811
754.821256,0.031937
754.821256,0.033639
754.881257,0.036128
754.881257,0.038234
